#
# Copyright (c) 2006 Vanderbilt University, ISIS
#
#file	weapon	shockwave_start	shockwave_end	muzzleblast_start	mic_shooter_dist(m)
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_017_0.wav	ak47	1992	2203	39137	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_018_0.wav	ak47	1994	2254	23880	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_020_0.wav	ak47	1993	2306	8220	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_025a_0.wav	ak47	1993	2289	9267	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_025b_0.wav	ak47	6994	7284	13930	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_026_0.wav	ak47	1995	2324	8337	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_027_0.wav	m16 	1994	2239	13048	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_028_0.wav	m16 	1995	2207	29059	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_029_0.wav	m16 	1996	2154	46457	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_030_0.wav	m16 	1995	2162	46021	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_031_0.wav	m16 	1995	2152	27634	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_032_0.wav	m16 	1995	2148	10790	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_036_0.wav	m16 	1995	2151	12372	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_039_0.wav	m16 	1996	2154	13663	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_040_0.wav	m16 	1996	2154	27138	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_041_0.wav	m16 	1995	2150	26649	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_042_0.wav	m16 	1995	2154	45008	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_043_0.wav	ar15	1996	2160	45002	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_044_0.wav	ar15	1995	2158	45013	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_045_0.wav	ar15	1996	2154	45409	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_046_0.wav	ar15	1995	2153	42910	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_047_0.wav	ar15	1995	2151	44768	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_048_0.wav	ar15	1995	2158	44585	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_049_0.wav	ar15	1996	2171	71530	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_050_0.wav	ar15	1996	2179	72501	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_051_0.wav	ar15	1996	2183	71655	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_052_0.wav	ak47	1996	2209	61818	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_053_0.wav	ak47	1996	2225	57774	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_054_0.wav	ak47	1996	2227	54809	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_055_0.wav	ak47	1995	2268	22724	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_056_0.wav	ak47	1996	2258	22782	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_057_0.wav	ak47	1995	2182	37885	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_058_0.wav	ak47	1995	2190	37472	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_059a_0.wav	ak47	1995	2260	24246	0
